row ID,MZ_RT,cor, p_value,p_value_corrected,C7,C8,C9,C10,C11,C12,C13,C14,C15
,Bioactivity,0,0,0,1,32.5,58.3,36.7,41.3,25.8,13.3,8.3,1
227,485.3337407_8.532546,0.90581337,0.000769211,1,1.49E-10,2.00E-05,6.57E-05,4.93E-05,4.64E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3916,433.3321921_26.053377,0.904120781,0.000817296,1,1.49E-10,8.78E-04,3.32E-03,1.94E-03,1.53E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
229,507.3157224_8.5325775,0.901550282,0.000894272,1,1.49E-10,4.20E-05,9.34E-05,7.96E-05,8.26E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3499,477.3010551_24.94286,0.891112561,0.001259113,1,1.49E-10,1.13E-04,3.52E-04,2.35E-04,1.36E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
216,299.2204772_8.249491,0.887777484,0.001394622,1,1.49E-10,2.61E-05,5.31E-05,4.76E-05,2.83E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4299,462.3527909_27.242655,0.887360986,0.001412226,1,1.49E-10,5.64E-04,3.29E-03,3.26E-03,2.76E-03,1.68E-03,9.78E-10,1.22E-09,1.49E-09
4060,528.3923249_26.496937,0.887131382,0.001421996,1,1.49E-10,9.32E-04,3.97E-03,2.18E-03,1.45E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
218,619.4153565_8.249505,0.886597132,0.001444912,1,1.49E-10,3.16E-05,6.20E-05,6.08E-05,5.81E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3879,447.3295552_25.989569,0.884109109,0.001555014,1,1.49E-10,1.21E-03,4.65E-03,2.49E-03,1.53E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4257,645.4653914_27.12685,0.882442941,0.001631917,1,1.49E-10,7.47E-04,2.64E-03,1.37E-03,8.15E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4127,506.3793726_26.650297,0.88219146,0.001643749,1,1.49E-10,6.40E-04,3.60E-03,2.16E-03,1.50E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4298,623.452349_27.243214,0.880897118,0.001705588,1,1.49E-10,6.99E-04,3.31E-03,2.08E-03,1.28E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3940,425.3167038_26.125835,0.880831802,0.001708751,1,1.49E-10,5.68E-04,3.17E-03,1.99E-03,1.34E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3986,550.4054396_26.337746,0.878759545,0.001811214,1,1.49E-10,1.19E-03,3.76E-03,1.78E-03,1.05E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4200,520.3765646_26.920593,0.873185158,0.002107831,1,1.49E-10,8.43E-04,5.84E-03,3.76E-03,2.53E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3857,469.3424752_25.87965,0.872331484,0.002156037,1,1.49E-10,1.75E-03,4.86E-03,2.06E-03,1.23E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4167,542.3894919_26.795519,0.871576669,0.002199291,1,1.49E-10,1.04E-03,5.58E-03,3.07E-03,1.84E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3467,499.3140526_24.840929,0.869919382,0.002296357,1,1.49E-10,2.15E-04,6.38E-04,4.03E-04,1.75E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
563,390.2386864_14.100427,0.869806084,0.002303099,1,1.49E-10,2.42E-04,7.35E-04,4.53E-04,1.98E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4351,601.4392267_27.380035,0.869089603,0.002346051,1,1.49E-10,6.04E-04,3.92E-03,2.88E-03,1.86E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3957,572.4184921_26.233183,0.865852809,0.002547,1,1.49E-10,1.46E-03,3.33E-03,1.54E-03,7.61E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
116,371.2653765_6.5468574,0.86535013,0.002579237,1,1.49E-10,4.96E-05,1.02E-04,9.50E-05,1.24E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4147,564.4026527_26.688196,0.863937231,0.002671353,1,1.49E-10,1.15E-03,4.98E-03,2.35E-03,1.29E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3905,424.8188975_26.038692,0.860927492,0.002875092,1,1.49E-10,4.39E-04,2.72E-03,1.68E-03,8.99E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4229,498.3633407_27.039175,0.86090495,0.002876658,1,1.49E-10,5.95E-04,5.71E-03,4.43E-03,3.19E-03,2.14E-05,9.78E-10,1.22E-09,1.49E-09
3442,521.327381_24.758995,0.859328775,0.002987551,1,1.49E-10,2.58E-04,6.45E-04,3.76E-04,1.39E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
117,393.2472234_6.5500836,0.856255642,0.003212165,1,1.49E-10,4.48E-05,9.33E-05,9.37E-05,1.16E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3801,491.3556089_25.761276,0.854968525,0.003309596,1,1.49E-10,2.22E-03,4.46E-03,1.71E-03,9.82E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
361,356.2544007_11.006785,0.854899649,0.003314866,1,2.94E-05,1.61E-04,4.93E-04,5.56E-04,4.17E-04,4.56E-05,1.10E-04,1.22E-09,1.49E-09
417,356.2545009_12.19899,0.853689265,0.003408427,1,1.49E-10,1.03E-04,1.76E-04,1.02E-04,3.99E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
217,597.4335226_8.2433195,0.853656873,0.003410955,1,1.49E-10,2.50E-05,4.95E-05,4.28E-05,1.60E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4559,718.512197_28.007515,0.852698736,0.003486331,1,1.49E-10,2.87E-04,2.02E-03,1.14E-03,5.91E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
274,203.1181489_9.327142,0.85196529,0.003544798,1,1.78E-05,1.47E-04,2.75E-04,1.82E-04,7.31E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4398,637.4495499_27.55468,0.851889939,0.003550843,1,1.49E-10,4.18E-04,3.30E-03,2.11E-03,1.10E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
267,470.3703066_9.179981,0.851355342,0.003593931,1,1.49E-10,1.08E-10,1.03E-04,4.87E-05,6.98E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4206,484.3660419_26.943928,0.850619904,0.003653792,1,1.49E-10,2.86E-04,2.83E-03,2.48E-03,2.24E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3682,477.3582515_25.426292,0.849779267,0.003723049,1,1.49E-10,1.45E-03,2.53E-03,1.03E-03,5.62E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4365,659.4625448_27.447262,0.848954739,0.00379185,1,1.49E-10,3.66E-04,2.30E-03,1.23E-03,5.89E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4091,586.4155324_26.554844,0.847921048,0.003879331,1,1.49E-10,1.18E-03,3.98E-03,1.51E-03,7.74E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4332,681.4759854_27.330605,0.847060019,0.003953249,1,1.49E-10,3.85E-04,1.46E-03,6.43E-04,2.79E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4282,476.3504776_27.193878,0.845863147,0.004057594,1,1.49E-10,3.65E-04,5.21E-03,4.95E-03,3.77E-03,4.28E-04,9.78E-10,1.22E-09,1.49E-09
4166,557.3950981_26.792624,0.845583265,0.004082264,1,1.49E-10,7.46E-05,8.55E-04,5.46E-04,2.99E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
261,491.2993896_9.175612,0.845489637,0.00409054,1,8.30E-06,5.89E-06,2.59E-04,1.38E-04,2.07E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
396,441.3438151_11.716405,0.84468146,0.004162453,1,1.49E-10,1.16E-05,5.01E-05,4.76E-05,5.66E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4462,615.4364294_27.706736,0.844430646,0.004184946,1,1.49E-10,4.05E-04,4.30E-03,3.27E-03,1.83E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4509,740.5250758_27.855093,0.843674491,0.004253262,1,1.49E-10,2.39E-04,1.44E-03,7.58E-04,3.34E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4585,696.4989205_28.118439,0.843329533,0.00428468,1,1.49E-10,1.43E-04,2.42E-03,1.43E-03,8.53E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
262,227.1754127_9.180635,0.842784364,0.004334656,1,7.66E-05,4.91E-05,1.37E-03,4.47E-04,6.15E-04,7.57E-05,9.78E-10,1.22E-09,1.49E-09
3421,543.3404504_24.656809,0.84140698,0.004462699,1,1.49E-10,2.67E-04,5.59E-04,2.79E-04,9.03E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4394,579.4261842_27.543123,0.841271004,0.004475478,1,1.49E-10,4.16E-04,4.19E-03,3.84E-03,2.67E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
163,204.1245542_7.22907,0.839064031,0.00468641,1,3.02E-04,6.62E-04,1.24E-03,1.04E-03,5.96E-04,2.19E-05,9.78E-10,1.22E-09,1.49E-09
2254,657.3944909_20.319145,0.838945794,0.004697899,1,1.49E-10,1.97E-04,2.89E-04,1.49E-04,6.42E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3869,484.3480677_25.937544,0.838801404,0.004711955,1,1.49E-10,1.20E-04,6.44E-04,3.08E-04,1.28E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4622,527.885911_28.212692,0.835946791,0.004995786,1,1.49E-10,1.08E-10,2.66E-03,2.39E-03,1.96E-03,2.26E-04,9.78E-10,1.22E-09,1.49E-09
87,192.1020634_5.8716087,0.833726572,0.005224458,1,1.49E-10,3.64E-05,6.19E-05,5.37E-05,1.60E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
880,362.1861912_15.817447,0.833643842,0.005233114,1,1.49E-10,4.59E-05,3.23E-04,2.87E-04,1.39E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4211,667.4782755_26.981491,0.833023558,0.005298329,1,1.49E-10,7.47E-04,2.07E-03,9.19E-04,2.81E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3924,594.4316043_26.093863,0.832545176,0.005349002,1,1.49E-10,1.52E-03,2.67E-03,1.05E-03,4.66E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4655,674.4860663_28.271473,0.832357042,0.00536902,1,1.49E-10,1.32E-04,2.77E-03,1.42E-03,8.16E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4718,652.4731333_28.447767,0.831407967,0.005470788,1,1.49E-10,6.32E-05,2.98E-03,1.55E-03,9.74E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4042,608.4288345_26.450703,0.83057326,0.005561373,1,1.49E-10,1.08E-03,2.86E-03,9.41E-04,4.33E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4143,579.4078703_26.670557,0.830328159,0.005588165,1,1.49E-10,1.02E-04,8.17E-04,4.43E-04,1.79E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4497,593.4233264_27.831957,0.829785159,0.005647835,1,1.49E-10,3.46E-04,5.06E-03,4.55E-03,2.75E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3942,832.5989796_26.128714,0.828634248,0.005775741,1,1.49E-10,2.71E-04,2.61E-03,1.95E-03,8.35E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4198,535.3817896_26.914692,0.828176913,0.00582711,1,1.49E-10,1.08E-05,8.31E-04,6.42E-04,3.97E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3960,788.5722222_26.247631,0.826561762,0.006011021,1,1.49E-10,3.50E-04,3.97E-03,3.39E-03,1.67E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3885,876.624697_25.998201,0.824439483,0.006258637,1,1.49E-10,2.16E-04,1.57E-03,9.83E-04,3.37E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3517,730.5303142_25.003868,0.823858098,0.006327663,1,1.49E-10,1.48E-03,5.02E-03,2.19E-03,6.09E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4671,652.473042_28.336678,0.823538297,0.006365851,1,1.49E-10,6.47E-05,1.02E-03,8.96E-04,4.78E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4738,674.4852947_28.490328,0.822556575,0.006484062,1,1.49E-10,1.08E-10,6.02E-04,5.39E-04,2.62E-04,1.13E-04,9.78E-10,1.22E-09,1.49E-09
3546,892.5408567_25.050266,0.820541625,0.006731348,1,1.49E-10,6.87E-05,5.26E-04,3.61E-04,1.21E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4674,505.3710032_28.305275,0.820204323,0.006773361,1,1.49E-10,1.08E-10,3.68E-03,3.86E-03,2.76E-03,5.76E-04,9.78E-10,1.22E-09,1.49E-09
3565,686.5040045_25.131405,0.819949385,0.006805232,1,1.49E-10,1.26E-03,6.70E-03,3.35E-03,9.73E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
310,232.2273039_9.969926,0.819416182,0.006872222,1,1.49E-10,1.08E-10,3.94E-05,3.56E-05,2.60E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2463,221.1900255_21.027393,0.817870859,0.007068899,1,1.49E-10,3.35E-04,2.21E-03,1.56E-03,4.75E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3743,513.3686873_25.634197,0.817389108,0.007130986,1,1.49E-10,2.53E-03,3.99E-03,1.30E-03,7.25E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3724,716.5144961_25.579334,0.817123801,0.007165336,1,1.49E-10,3.63E-04,4.06E-03,2.91E-03,1.09E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3254,353.2686219_23.981817,0.816910991,0.00719297,1,1.49E-10,6.93E-05,6.99E-04,6.07E-04,2.58E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3569,848.5146197_25.142967,0.816854415,0.007200329,1,1.49E-10,6.41E-05,7.10E-04,5.34E-04,2.04E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4768,688.483467_28.57188,0.815206756,0.007416886,1,1.49E-10,1.70E-05,1.69E-03,1.40E-03,7.61E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3531,405.2610931_25.009619,0.814891506,0.007458818,1,1.49E-10,9.96E-05,5.33E-04,6.41E-04,4.58E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3677,642.4777668_25.42339,0.814751307,0.007477518,1,1.49E-10,8.63E-04,8.84E-03,6.42E-03,2.27E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4237,513.368739_27.064064,0.814329945,0.007533911,1,1.49E-10,1.08E-10,7.17E-04,6.77E-04,4.92E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3483,774.5569758_24.89928,0.812992866,0.007714769,1,1.49E-10,1.41E-03,3.63E-03,1.40E-03,3.39E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4453,557.4131181_27.679718,0.812561814,0.007773696,1,1.49E-10,2.88E-04,4.16E-03,4.48E-03,3.27E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2462,203.179577_21.027393,0.811914778,0.007862722,1,1.49E-10,2.81E-04,2.21E-03,1.57E-03,4.78E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2762,244.2272793_22.170832,0.811788809,0.007880134,1,1.49E-10,2.91E-05,1.45E-04,1.46E-04,5.54E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4541,571.4103337_27.943182,0.811468906,0.00792447,1,1.49E-10,2.57E-04,5.42E-03,5.59E-03,3.70E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3402,565.3533009_24.57203,0.810223252,0.008098719,1,1.49E-10,2.38E-04,4.43E-04,1.95E-04,4.31E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3859,920.6507456_25.882572,0.808857615,0.008292716,1,1.49E-10,1.47E-04,9.28E-04,4.86E-04,1.22E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3980,630.4418521_26.308712,0.806105918,0.008693126,1,1.49E-10,9.10E-04,1.87E-03,5.58E-04,2.09E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
369,388.2231199_11.150046,0.805995855,0.008709408,1,1.49E-10,1.18E-05,1.14E-04,9.65E-05,3.38E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3496,351.2529026_24.939974,0.805843539,0.008731975,1,1.49E-10,2.00E-04,1.82E-03,8.18E-04,2.67E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3433,477.3012517_24.735668,0.805688475,0.00875499,1,1.49E-10,5.79E-05,1.73E-04,1.07E-04,1.49E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4427,630.4413563_27.622625,0.804749259,0.008895268,1,1.49E-10,1.08E-10,7.21E-04,6.37E-04,3.34E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3501,428.3006954_24.945763,0.802395649,0.009253456,1,1.49E-10,1.09E-04,8.92E-04,4.45E-04,1.17E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3882,438.8165592_25.995346,0.802393011,0.009253862,1,1.49E-10,7.13E-05,7.52E-04,4.20E-04,1.18E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4305,464.8307748_27.256624,0.802213425,0.009281588,1,1.49E-10,1.08E-10,8.54E-04,8.82E-04,6.36E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4084,601.4209977_26.537558,0.802089361,0.009300773,1,1.49E-10,1.32E-04,7.02E-04,2.91E-04,6.97E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
170,186.0915925_7.387374,0.801440255,0.009401593,1,1.49E-10,1.87E-05,6.24E-05,6.19E-05,1.65E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
137,453.3435202_6.94261,0.799618197,0.009688535,1,1.49E-10,1.08E-10,2.50E-04,1.96E-04,3.00E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4002,744.5458558_26.383942,0.799123131,0.009767509,1,1.49E-10,2.09E-04,4.73E-03,4.92E-03,2.65E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3805,506.3615978_25.77861,0.798835247,0.009813631,1,1.49E-10,2.17E-04,6.77E-04,2.76E-04,4.08E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3913,416.305693_26.041698,0.798817854,0.009816423,1,1.49E-10,6.27E-05,1.88E-03,1.30E-03,4.51E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4881,769.546065_28.996946,0.798602482,0.009851031,1,1.49E-10,1.08E-10,9.19E-04,8.08E-04,3.85E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3609,804.4885655_25.255863,0.798236708,0.009909995,1,1.49E-10,4.46E-05,8.14E-04,7.62E-04,3.22E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
162,136.0618832_7.22838,0.798215439,0.009913431,1,1.49E-10,3.70E-05,8.07E-05,6.27E-05,8.32E-06,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4284,703.4883894_27.214357,0.798132766,0.009926795,1,1.49E-10,1.90E-04,7.93E-04,3.09E-04,6.01E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3779,455.3453869_25.73516,0.79553139,0.010353518,1,1.49E-10,7.29E-04,1.70E-03,2.92E-04,2.39E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4210,475.8529024_26.960129,0.794914334,0.010456523,1,1.49E-10,1.08E-10,8.10E-04,8.08E-04,4.44E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
579,182.1541987_14.342303,0.79410481,0.0105927,1,1.49E-10,1.53E-04,3.83E-04,1.70E-04,1.63E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4334,454.3378365_27.335678,0.793794051,0.010645291,1,1.49E-10,1.73E-04,4.32E-03,5.46E-03,4.51E-03,6.18E-04,9.78E-10,1.22E-09,1.49E-09
4772,630.4600924_28.577675,0.793050811,0.010771786,1,1.49E-10,5.55E-06,3.05E-03,3.32E-03,2.24E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4929,747.5331397_29.162628,0.792692539,0.010833122,1,1.49E-10,1.08E-10,1.26E-03,1.27E-03,6.80E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3797,892.6557612_25.772701,0.791429554,0.01105122,1,1.49E-10,2.34E-04,1.19E-03,6.36E-04,8.65E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4202,511.8635294_26.929321,0.791175627,0.011095423,1,1.49E-10,1.08E-10,7.68E-04,6.29E-04,2.50E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2446,383.0760914_20.955137,0.790892574,0.011144837,1,4.87229E-05,0.003302667,0.014225177,0.014064947,0.008621688,0.007055079,0.005901135,0.007469164,0.001800836
1272,340.165761_17.077122,0.790866392,0.011149415,1,1.49E-10,1.46E-04,7.14E-04,2.62E-04,5.19E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2771,357.278874_22.213165,0.79075493,0.011168919,1,1.49E-10,3.45E-04,9.90E-04,3.51E-04,4.81E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4238,978.6922298_27.064066,0.789965026,0.0113078,1,1.49E-10,1.08E-10,5.19E-04,4.83E-04,2.19E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4571,549.3973233_28.069935,0.788487516,0.011570685,1,1.49E-10,1.38E-04,5.23E-03,6.29E-03,4.66E-03,1.72E-04,9.78E-10,1.22E-09,1.49E-09
4186,689.491349_26.85078,0.78839724,0.01158688,1,1.49E-10,7.09E-04,1.55E-03,2.95E-04,1.78E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4388,652.454836_27.530195,0.788100804,0.011640163,1,1.49E-10,1.08E-10,5.80E-04,4.21E-04,1.47E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4473,608.4287526_27.749735,0.788080516,0.011643816,1,1.49E-10,1.08E-10,8.04E-04,8.80E-04,5.41E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3904,462.3349509_26.056276,0.787985294,0.011660971,1,1.49E-10,5.28E-06,4.72E-04,2.73E-04,8.73E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3269,584.4362665_24.0816,0.787763151,0.011701056,1,1.49E-10,3.30E-03,9.28E-03,3.09E-03,4.32E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3338,658.4731579_24.347918,0.786609536,0.011910716,1,1.49E-10,1.54E-03,4.42E-03,1.56E-03,1.74E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4774,681.475325_28.588118,0.786137643,0.011997201,1,1.49E-10,1.08E-10,3.71E-04,4.13E-04,2.58E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4725,710.4964431_28.465256,0.785874658,0.012045582,1,1.49E-10,1.11E-05,1.17E-03,5.39E-04,1.93E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4277,491.3556276_27.183424,0.785306571,0.012150539,1,1.49E-10,1.08E-10,5.86E-04,6.76E-04,5.09E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4173,533.8766817_26.809889,0.785044595,0.012199146,1,1.49E-10,1.08E-10,6.95E-04,4.66E-04,1.50E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4796,666.4703414_28.67687,0.78294705,0.012593046,1,1.49E-10,1.08E-10,2.14E-03,2.42E-03,1.48E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2866,287.2369593_22.547283,0.782702008,0.012639611,1,1.49E-10,6.69E-05,1.22E-03,1.46E-03,6.02E-04,2.10E-04,9.78E-10,1.22E-09,1.49E-09
4228,489.8502886_27.037148,0.782588031,0.01266131,1,1.49E-10,1.08E-10,7.77E-04,7.64E-04,3.39E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4624,527.3842271_28.191095,0.782494941,0.012679051,1,1.49E-10,7.14E-05,4.63E-03,6.00E-03,4.62E-03,5.92E-04,9.78E-10,1.22E-09,1.49E-09
3619,499.3713123_25.290527,0.782093201,0.012755805,1,1.49E-10,1.94E-03,2.78E-03,6.75E-04,4.37E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4708,493.8515052_28.483849,0.780962827,0.012973437,1,1.49E-10,1.08E-10,6.35E-04,2.19E-04,1.10E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
379,356.2544916_11.386125,0.780920853,0.012981566,1,1.49E-10,1.08E-10,7.20E-05,7.77E-05,4.02E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4501,535.3999772_27.82919,0.779687772,0.013221899,1,1.49E-10,7.82E-05,3.68E-03,4.71E-03,3.82E-03,2.63E-04,9.78E-10,1.22E-09,1.49E-09
3707,535.3816187_25.512949,0.778474675,0.013461229,1,1.49E-10,2.58E-03,3.49E-03,1.08E-03,4.71E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4953,725.5199561_29.270788,0.777666615,0.013622251,1,1.49E-10,1.08E-10,1.42E-03,1.68E-03,1.09E-03,3.94E-10,9.78E-10,1.22E-09,1.49E-09
136,209.1650615_6.9425354,0.776046379,0.013948991,1,1.49E-10,1.08E-10,6.34E-05,5.46E-05,8.72E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3505,936.567209_24.951538,0.775974044,0.013963699,1,1.49E-10,4.01E-05,3.34E-04,1.83E-04,2.35E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3874,616.4444576_25.957804,0.77546162,0.014068191,1,1.49E-10,1.48E-03,2.03E-03,7.36E-04,2.04E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3410,499.3140493_24.629541,0.775404966,0.014079775,1,1.49E-10,7.38E-05,1.89E-04,9.17E-05,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3542,804.4885359_25.030848,0.775258168,0.014109822,1,1.49E-10,1.08E-10,2.62E-04,1.89E-04,5.34E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
313,306.1701656_10.073177,0.774537802,0.014257892,1,1.49E-10,2.07E-05,4.60E-05,2.48E-05,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2465,163.1481642_21.024506,0.774206156,0.014326409,1,1.49E-10,5.09E-05,3.55E-04,2.38E-04,2.86E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4134,497.8660117_26.655869,0.773754337,0.014420107,1,1.49E-10,1.08E-10,8.02E-04,5.52E-04,1.48E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
429,537.2347071_12.307034,0.773696339,0.014432165,1,1.49E-10,2.65E-05,8.06E-05,3.88E-05,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4279,934.6661658_27.187263,0.77363819,0.01444426,1,1.49E-10,1.08E-10,8.54E-04,1.02E-03,6.19E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
3440,818.5830611_24.75593,0.773210289,0.014533475,1,1.49E-10,1.03E-03,2.11E-03,6.59E-04,6.32E-05,3.94E-10,9.78E-10,1.22E-09,1.49E-09
1974,208.1333978_19.380657,0.773150309,0.01454601,1,1.49E-10,7.05E-05,1.08E-03,6.11E-04,1.05E-04,3.94E-10,9.78E-10,1.22E-09,1.49E-09
